county,registered_voters,per_turnout,not_voted,orourke,per_orourke,abbott,per_abbott,last_updated,winning,margin
LUBBOCK,187728,0.4462200630699736,103960,24497,29.24,58163,69.43,"Dec 13, 2022, 10:49PM",Greg Abbott,33666
LYNN,4098,0.4214250854075159,2371,196,11.35,1502,86.97,"Dec 13, 2022, 10:49PM",Greg Abbott,1306
MADISON,8148,0.4795041728031419,4241,595,15.23,3272,83.75,"Dec 13, 2022, 10:49PM",Greg Abbott,2677
MARION,7630,0.4327653997378768,4328,700,21.2,2557,77.44,"Dec 13, 2022, 10:49PM",Greg Abbott,1857
MARTIN,3350,0.4501492537313433,1842,149,9.88,1341,88.93,"Dec 13, 2022, 10:49PM",Greg Abbott,1192
MASON,3184,0.6253140703517588,1193,268,13.46,1703,85.53,"Dec 13, 2022, 10:49PM",Greg Abbott,1435
MATAGORDA,21681,0.4483649278169826,11960,2273,23.38,7350,75.61,"Dec 13, 2022, 10:49PM",Greg Abbott,5077
MAVERICK,34073,0.28124908285152467,24490,5555,57.97,3862,40.3,"Dec 13, 2022, 10:49PM",Beto O'Rourke,1693
MCCULLOCH,5396,0.4749814677538918,2833,314,12.25,2221,86.66,"Dec 13, 2022, 10:49PM",Greg Abbott,1907
MCLENNAN,154088,0.47109443954104147,81498,23765,32.74,47875,65.95,"Dec 13, 2022, 10:49PM",Greg Abbott,24110
MCMULLEN,660,0.5636363636363636,288,28,7.53,343,92.2,"Dec 13, 2022, 10:49PM",Greg Abbott,315
MEDINA,35611,0.4876583078262335,18245,4591,26.44,12601,72.56,"Dec 13, 2022, 10:49PM",Greg Abbott,8010
MENARD,1420,0.545774647887324,645,110,14.19,659,85.03,"Dec 13, 2022, 10:49PM",Greg Abbott,549
MIDLAND,96512,0.4150053879310345,56459,7154,17.86,32389,80.87,"Dec 13, 2022, 10:49PM",Greg Abbott,25235
MILAM,16380,0.5102564102564102,8022,1559,18.65,6717,80.37,"Dec 13, 2022, 10:49PM",Greg Abbott,5158
MILLS,3455,0.6138929088277858,1334,198,9.34,1894,89.3,"Dec 13, 2022, 10:49PM",Greg Abbott,1696
MITCHELL,4469,0.398523159543522,2688,185,10.39,1576,88.49,"Dec 13, 2022, 10:49PM",Greg Abbott,1391
MONTAGUE,14661,0.5355705613532501,6809,765,9.74,7004,89.2,"Dec 13, 2022, 10:49PM",Greg Abbott,6239
MONTGOMERY,409759,0.50774967724931,201704,52654,25.31,152694,73.39,"Dec 13, 2022, 10:49PM",Greg Abbott,100040
MOORE,9941,0.36243838648023335,6338,479,13.29,3081,85.51,"Dec 13, 2022, 10:49PM",Greg Abbott,2602
MORRIS,8708,0.4588883785025264,4712,921,23.05,3041,76.1,"Dec 13, 2022, 10:49PM",Greg Abbott,2120
MOTLEY,822,0.6131386861313869,318,18,3.57,482,95.63,"Dec 13, 2022, 10:49PM",Greg Abbott,464
NACOGDOCHES,39321,0.48193077490399533,20371,5480,28.92,13248,69.91,"Dec 13, 2022, 10:49PM",Greg Abbott,7768
NAVARRO,31135,0.4539264493335475,17002,3157,22.34,10830,76.63,"Dec 13, 2022, 10:49PM",Greg Abbott,7673
NEWTON,9376,0.4664035836177474,5003,689,15.76,3660,83.7,"Dec 13, 2022, 10:49PM",Greg Abbott,2971
NOLAN,8751,0.4345789052679694,4948,647,17.01,3093,81.33,"Dec 13, 2022, 10:49PM",Greg Abbott,2446
NUECES,213925,0.41744069183124927,124624,40474,45.32,47567,53.27,"Dec 13, 2022, 10:49PM",Greg Abbott,7093
OCHILTREE,5135,0.4140214216163583,3009,135,6.35,1975,92.9,"Dec 13, 2022, 10:49PM",Greg Abbott,1840
OLDHAM,1318,0.5842185128983308,548,50,6.49,710,92.21,"Dec 13, 2022, 10:49PM",Greg Abbott,660
ORANGE,55008,0.45627908667830136,29909,3722,14.83,21153,84.28,"Dec 13, 2022, 10:49PM",Greg Abbott,17431
PALO PINTO,19390,0.4893759669932955,9901,1486,15.66,7896,83.21,"Dec 13, 2022, 10:49PM",Greg Abbott,6410
PANOLA,17176,0.4839892873777364,8863,1213,14.59,7039,84.67,"Dec 13, 2022, 10:49PM",Greg Abbott,5826
PARKER,115621,0.5486633051089335,52184,10123,15.96,52523,82.8,"Dec 13, 2022, 10:49PM",Greg Abbott,42400
PARMER,4452,0.3971248876909254,2684,202,11.43,1546,87.44,"Dec 13, 2022, 10:49PM",Greg Abbott,1344
PECOS,8210,0.44847746650426307,4528,1043,28.33,2548,69.2,"Dec 13, 2022, 10:49PM",Greg Abbott,1505
POLK,42228,0.39727195225916456,25452,3229,19.25,13377,79.74,"Dec 13, 2022, 10:49PM",Greg Abbott,10148
POTTER,58048,0.37565463065049615,36242,5361,24.58,16082,73.75,"Dec 13, 2022, 10:49PM",Greg Abbott,10721
